"자치구별(1)","성별(1)",2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"자치구별(1)","성별(1)",계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
"자치구별(1)","성별(1)",소계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95세 이상+
"합계","계",9338274,211978,297627,340206,366544,582082,821062,771655,653112,718096,681668,789573,688409,724409,596521,413664,308695,222534,105260,35641,9538
"합계","남자",4503704,109559,152191,174872,186828,268486,388709,384845,327066,357918,337052,388524,333897,344639,277817,190170,137013,94702,37619,9819,1978
"합계","여자",4834570,102419,145436,165334,179716,313596,432353,386810,326046,360178,344616,401049,354512,379770,318704,223494,171682,127832,67641,25822,7560
