"자치구별(1)","성별(1)",2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"자치구별(1)","성별(1)",계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
"자치구별(1)","성별(1)",소계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95세 이상+
"합계","계",9501528,258523,335174,352442,384431,647961,836224,733556,718380,709929,752846,780114,718575,727734,545908,398468,288219,187643,87992,29896,7513
"합계","남자",4597665,133121,171740,181190,194736,298266,404583,365601,361303,354239,372958,381526,350150,343898,255271,182811,129213,77664,30062,7689,1644
"합계","여자",4903863,125402,163434,171252,189695,349695,431641,367955,357077,355690,379888,398588,368425,383836,290637,215657,159006,109979,57930,22207,5869
