"자치구별(1)","성별(1)",2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"자치구별(1)","성별(1)",계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
"자치구별(1)","성별(1)",소계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95세 이상+
"합계","계",9411443,233066,318943,348179,370749,622296,828096,747121,680265,717872,713762,788489,705634,720702,569069,404451,298961,206226,96524,32622,8416
"합계","남자",4546159,120315,163028,179199,188984,286012,396655,372348,340991,358125,353111,386832,343764,341546,265169,185778,133253,86926,33649,8691,1783
"합계","여자",4865284,112751,155915,168980,181765,336284,431441,374773,339274,359747,360651,401657,361870,379156,303900,218673,165708,119300,62875,23931,6633
