"자치구별(1)","자치구별(2)",성별(1),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"자치구별(1)","자치구별(2)",성별(1),계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
"자치구별(1)","자치구별(2)",성별(1),소계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95세 이상+
"합계","노원구",여자,267691,7039,9481,11330,14844,19893,16787,14817,17433,19512,25062,23122,21313,20344,14470,11226,9346,6580,3444,1312,336
"합계","은평구",계,461528,13510,16554,17282,20747,28178,35614,31584,35603,34231,39498,37532,36444,35113,25815,20853,16643,10316,4266,1405,340
"합계","은평구",남자,221325,6883,8548,8913,10368,13671,16969,15425,17878,17038,19372,18071,17225,16373,11720,9299,7326,4326,1464,376,80
"합계","은평구",여자,240203,6627,8006,8369,10379,14507,18645,16159,17725,17193,20126,19461,19219,18740,14095,11554,9317,5990,2802,1029,260
"합계","서대문구",계,317188,9500,10835,10396,14873,29941,29617,22679,23299,21512,25102,24460,23305,21430,15306,12706,10762,7170,3044,999,252
"합계","서대문구",남자,148845,4963,5471,5211,6831,12023,14322,11074,11569,10686,12292,11778,11147,10104,7115,5430,4579,2870,1064,274,42
"합계","서대문구",여자,168343,4537,5364,5185,8042,17918,15295,11605,11730,10826,12810,12682,12158,11326,8191,7276,6183,4300,1980,725,210
"합계","마포구",계,367091,12183,13093,13002,15043,28357,36181,32561,32600,28455,31188,27287,24972,22153,15534,12692,10693,6820,3061,979,237
"합계","마포구",남자,172139,6250,6592,6618,7307,12187,16418,14936,15926,13811,15260,13300,12132,10285,7058,5330,4574,2723,1076,289,67
"합계","마포구",여자,194952,5933,6501,6384,7736,16170,19763,17625,16674,14644,15928,13987,12840,11868,8476,7362,6119,4097,1985,690,170
"합계","양천구",계,441402,12583,19380,23609,25432,27439,29633,26241,31191,34810,42426,39187,35860,32121,23052,16162,11090,6664,3140,1109,273
"합계","양천구",남자,216266,6457,9980,12347,13074,14194,14801,13117,15248,16464,20502,19347,17661,15309,11175,7775,5039,2501,926,292,57
"합계","양천구",여자,225136,6126,9400,11262,12358,13245,14832,13124,15943,18346,21924,19840,18199,16812,11877,8387,6051,4163,2214,817,216
"합계","강서구",계,569177,19070,21980,20466,23114,32817,50889,49131,49810,43726,45134,41592,43881,43268,30906,22505,15023,9237,4482,1739,407
"합계","강서구",남자,274022,9746,11188,10517,11560,15414,23293,24484,25657,21976,22480,19921,20560,19973,14332,10751,6864,3455,1369,375,107
"합계","강서구",여자,295155,9324,10792,9949,11554,17403,27596,24647,24153,21750,22654,21671,23321,23295,16574,11754,8159,5782,3113,1364,300
"합계","구로구",계,434846,14422,15789,14345,15913,23737,33008,33980,35670,32869,35655,35530,37467,36074,25766,18857,13162,7842,3392,1100,268
"합계","구로구",남자,216689,7450,8008,7327,8366,11593,16135,17336,18762,17291,18665,17902,18567,17298,12218,9077,6062,3224,1092,257,59
"합계","구로구",여자,218157,6972,7781,7018,7547,12144,16873,16644,16908,15578,16990,17628,18900,18776,13548,9780,7100,4618,2300,843,209
"합계","금천구",계,249361,6812,7144,6729,8254,14402,22859,20397,18874,16410,19961,22304,24055,21466,14647,10487,7556,4330,1909,585,180
"합계","금천구",남자,126753,3526,3591,3429,4110,7069,11879,11291,10505,8905,10426,11224,12192,10661,7094,4899,3416,1763,614,115,44
"합계","금천구",여자,122608,3286,3553,3300,4144,7333,10980,9106,8369,7505,9535,11080,11863,10805,7553,5588,4140,2567,1295,470,136
"합계","영등포구",계,399825,13614,12771,10881,12685,21624,37105,37888,34975,28703,31372,32291,33826,31416,21431,15420,11566,7443,3471,1052,291
"합계","영등포구",남자,199084,6912,6526,5661,6588,9959,17630,19519,18635,15169,16419,16376,17024,15529,10288,7190,5087,3055,1184,272,61
"합계","영등포구",여자,200741,6702,6245,5220,6097,11665,19475,18369,16340,13534,14953,15915,16802,15887,11143,8230,6479,4388,2287,780,230
"합계","동작구",계,395249,11745,13273,12409,16235,31978,39408,32182,30707,28043,30261,29392,29661,28298,20693,16351,12404,7554,3256,1119,280
"합계","동작구",남자,190851,5975,6782,6423,8154,14623,19481,16271,15607,14177,15169,13990,14071,13111,9433,7215,5713,3148,1133,298,77
"합계","동작구",여자,204398,5770,6491,5986,8081,17355,19927,15911,15100,13866,15092,15402,15590,15187,11260,9136,6691,4406,2123,821,203
"합계","관악구",계,505188,11125,12554,12381,17243,42419,71169,50445,39504,32841,35773,34653,35621,33931,25905,20588,15704,8598,3387,1073,274
"합계","관악구",남자,252234,5750,6433,6358,8765,18815,36354,27746,21615,17627,18862,17224,17215,15804,11871,9387,7221,3716,1166,249,56
"합계","관악구",여자,252954,5375,6121,6023,8478,23604,34815,22699,17889,15214,16911,17429,18406,18127,14034,11201,8483,4882,2221,824,218
"합계","서초구",계,405077,13714,19723,20931,21066,24116,28818,28823,32840,34462,38618,32455,27905,25987,19557,15418,10455,5924,2800,1150,315
"합계","서초구",남자,193593,7066,10268,10636,10579,11504,13596,13390,15253,15897,18675,16014,13355,12081,8917,7110,5129,2718,1037,300,68
"합계","서초구",여자,211484,6648,9455,10295,10487,12612,15222,15433,17587,18565,19943,16441,14550,13906,10640,8308,5326,3206,1763,850,247
"합계","강남구",계,509281,13953,21485,26345,28174,30723,39203,38167,41218,43239,49483,41980,34501,31765,24675,19312,12781,7130,3419,1359,369
"합계","강남구",남자,243637,7155,11250,13794,14555,14752,18321,17810,18874,19747,23566,21033,16896,14635,11200,8972,6230,3256,1149,352,90
"합계","강남구",여자,265644,6798,10235,12551,13619,15971,20882,20357,22344,23492,25917,20947,17605,17130,13475,10340,6551,3874,2270,1007,279
"합계","송파구",계,645798,22904,27430,27031,29523,38882,51777,52672,55804,50569,53996,51254,49623,46851,34055,23306,15061,8608,4388,1666,398
"합계","송파구",남자,311106,11952,14122,13722,15050,18750,24012,25320,26985,24348,26079,24755,23570,21892,16314,11432,7283,3629,1417,379,95
"합계","송파구",여자,334692,10952,13308,13309,14473,20132,27765,27352,28819,26221,27917,26499,26053,24959,17741,11874,7778,4979,2971,1287,303
"합계","강동구",계,443058,15400,18660,18283,19497,25253,33275,32585,37083,34576,36120,34947,36071,35202,25277,17746,11600,6544,3275,1317,347
"합계","강동구",남자,217797,7926,9729,9697,10200,12684,16188,16246,18564,17322,18051,16938,17225,16551,12145,8658,5575,2693,1024,316,65
"합계","강동구",여자,225261,7474,8931,8586,9297,12569,17087,16339,18519,17254,18069,18009,18846,18651,13132,9088,6025,3851,2251,1001,282
