City,Datetime,Temperature (°C)
파주,2024-06-09 06:00:00,28.51
파주,2024-06-09 09:00:00,25.1
파주,2024-06-09 12:00:00,21.55
파주,2024-06-09 15:00:00,20.58
파주,2024-06-09 18:00:00,19.58
파주,2024-06-09 21:00:00,19.32
구미,2024-06-09 00:00:00,21.79
구미,2024-06-09 03:00:00,26.92
구미,2024-06-09 06:00:00,30.89
구미,2024-06-09 09:00:00,28.17
구미,2024-06-09 12:00:00,21.49
구미,2024-06-09 15:00:00,19.32
구미,2024-06-09 18:00:00,17.99
구미,2024-06-09 21:00:00,18.27
경산,2024-06-09 00:00:00,21.8
경산,2024-06-09 03:00:00,25.5
경산,2024-06-09 06:00:00,27.2
경산,2024-06-09 09:00:00,27.79
경산,2024-06-09 12:00:00,20.46
경산,2024-06-09 15:00:00,18.29
경산,2024-06-09 18:00:00,17.6
경산,2024-06-09 21:00:00,18.44
진주,2024-06-09 00:00:00,28.77
진주,2024-06-09 03:00:00,24.2
진주,2024-06-09 06:00:00,22.74
진주,2024-06-09 09:00:00,21.13
진주,2024-06-09 12:00:00,21.93
진주,2024-06-09 15:00:00,28.98
진주,2024-06-09 18:00:00,32.52
진주,2024-06-09 21:00:00,33.07
광명,2024-06-09 00:00:00,11.9
광명,2024-06-09 03:00:00,15.9
광명,2024-06-09 06:00:00,15.92
광명,2024-06-09 09:00:00,11.83
광명,2024-06-09 12:00:00,12.21
광명,2024-06-09 15:00:00,13.19
광명,2024-06-09 18:00:00,12.24
광명,2024-06-09 21:00:00,12.19
아산,2024-06-09 00:00:00,23.01
아산,2024-06-09 03:00:00,26.49
아산,2024-06-09 06:00:00,27.64
아산,2024-06-09 09:00:00,23.68
아산,2024-06-09 12:00:00,17.95
아산,2024-06-09 15:00:00,17.2
아산,2024-06-09 18:00:00,16.99
아산,2024-06-09 21:00:00,18.09
익산,2024-06-09 00:00:00,22.7
익산,2024-06-09 03:00:00,26.75
익산,2024-06-09 06:00:00,27.47
익산,2024-06-09 09:00:00,23.18
익산,2024-06-09 12:00:00,18.8
익산,2024-06-09 15:00:00,17.81
익산,2024-06-09 18:00:00,17.27
익산,2024-06-09 21:00:00,17.83
포항,2024-06-09 00:00:00,21.82
포항,2024-06-09 03:00:00,25.11
포항,2024-06-09 06:00:00,25.11
포항,2024-06-09 09:00:00,23.54
포항,2024-06-09 12:00:00,19.26
포항,2024-06-09 15:00:00,18.19
포항,2024-06-09 18:00:00,17.91
포항,2024-06-09 21:00:00,17.96
