"자치구별(1)","성별(1)",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"자치구별(1)","성별(1)",계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
"자치구별(1)","성별(1)",소계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95세 이상+
"합계","계",9617795,289085,346887,352626,424664,669977,829972,736333,757489,706362,799497,769128,752408,706615,509622,386879,290507,176179,79030,27513,7022
"합계","남자",4666345,148651,178015,181645,212815,312373,405742,368239,382273,351899,396278,376029,364195,334239,239013,177674,130778,71700,26201,6933,1653
"합계","여자",4951450,140434,168872,170981,211849,357604,424230,368094,375216,354463,403219,393099,388213,372376,270609,209205,159729,104479,52829,20580,5369
